time	time	departures_all	arrivals_all	stuck_all	en-route_all	departures_car	arrivals_car	stuck_car	en-route_car
09:10:00	33000	85	93	0	864	85	93	0	864
09:15:00	33300	109	95	0	878	109	95	0	878
09:20:00	33600	90	97	0	871	90	97	0	871
09:25:00	33900	106	101	0	876	106	101	0	876
09:30:00	34200	93	102	0	867	93	102	0	867
09:35:00	34500	89	89	0	867	89	89	0	867
09:40:00	34800	90	91	0	866	90	91	0	866
09:45:00	35100	107	97	0	876	107	97	0	876
09:50:00	35400	123	115	0	884	123	115	0	884
09:55:00	35700	99	106	0	877	99	106	0	877
10:00:00	36000	131	107	0	901	131	107	0	901
10:05:00	36300	96	110	0	887	96	110	0	887
10:10:00	36600	118	106	0	899	118	106	0	899
10:15:00	36900	112	101	0	910	112	101	0	910
10:20:00	37200	106	111	0	905	106	111	0	905
10:25:00	37500	106	103	0	908	106	103	0	908
10:30:00	37800	106	103	1	910	106	103	1	910
10:35:00	38100	106	115	0	901	106	115	0	901
10:40:00	38400	111	114	1	897	111	114	1	897
10:45:00	38700	127	117	0	907	127	117	0	907
10:50:00	39000	124	94	0	937	124	94	0	937
10:55:00	39300	111	120	0	928	111	120	0	928
11:00:00	39600	131	110	0	949	131	110	0	949
11:05:00	39900	94	89	0	954	94	89	0	954
11:10:00	40200	125	122	0	957	125	122	0	957
11:15:00	40500	123	119	0	961	123	119	0	961
11:20:00	40800	114	98	0	977	114	98	0	977
11:25:00	41100	115	107	1	984	115	107	1	984
11:30:00	41400	88	110	0	962	88	110	0	962
11:35:00	41700	126	128	0	960	126	128	0	960
11:40:00	42000	111	111	0	960	111	111	0	960
11:45:00	42300	124	106	0	978	124	106	0	978
11:50:00	42600	124	96	0	1006	124	96	0	1006
11:55:00	42900	114	127	1	992	114	127	1	992
12:00:00	43200	45	97	0	940	45	97	0	940
12:05:00	43500	46	100	0	886	46	100	0	886
12:10:00	43800	42	87	0	841	42	87	0	841
12:15:00	44100	48	70	1	818	48	70	1	818
12:20:00	44400	48	84	1	781	48	84	1	781
12:25:00	44700	38	97	1	721	38	97	1	721
12:30:00	45000	44	75	0	690	44	75	0	690
12:35:00	45300	53	74	0	669	53	74	0	669
12:40:00	45600	35	75	0	629	35	75	0	629
12:45:00	45900	46	69	0	606	46	69	0	606
12:50:00	46200	51	65	0	592	51	65	0	592
12:55:00	46500	39	70	0	561	39	70	0	561
13:00:00	46800	40	66	0	535	40	66	0	535
13:05:00	47100	42	63	1	513	42	63	1	513
13:10:00	47400	42	62	0	493	42	62	0	493
13:15:00	47700	37	56	0	474	37	56	0	474
13:20:00	48000	39	71	0	442	39	71	0	442
13:25:00	48300	30	49	1	422	30	49	1	422
13:30:00	48600	28	49	0	401	28	49	0	401
13:35:00	48900	25	57	0	369	25	57	0	369
13:40:00	49200	35	53	0	351	35	53	0	351
13:45:00	49500	33	47	0	337	33	47	0	337
13:50:00	49800	31	45	0	323	31	45	0	323
13:55:00	50100	29	49	0	303	29	49	0	303
14:00:00	50400	32	35	1	299	32	35	1	299
14:05:00	50700	24	48	0	275	24	48	0	275
14:10:00	51000	30	38	0	267	30	38	0	267
14:15:00	51300	21	39	0	249	21	39	0	249
14:20:00	51600	30	35	0	244	30	35	0	244
14:25:00	51900	25	37	0	232	25	37	0	232
14:30:00	52200	23	37	0	218	23	37	0	218
14:35:00	52500	28	26	0	220	28	26	0	220
14:40:00	52800	21	31	1	209	21	31	1	209
14:45:00	53100	25	38	0	196	25	38	0	196
14:50:00	53400	19	34	0	181	19	34	0	181
14:55:00	53700	19	35	1	164	19	35	1	164
15:00:00	54000	19	14	1	168	19	14	1	168
15:05:00	54300	15	26	0	157	15	26	0	157
15:10:00	54600	13	28	0	142	13	28	0	142
